"","model_name","dv","intercept","intercept_se","intercept_t","var_firm","var_country","deviance","para_count","sigularity","convWarning","lr_chisq","lr_pvalue","icc_value","aic","bic","group_count","firm_count"
"1","null_overall","sensing2",-0.1448,0.1317,-1.0994,0.7578,0.2311,1465.89149793121,6,TRUE,0,126.2439,0,0.233694003438164,1541.75124305425,1554.87120242298,15,586
"2","null_domestic","sensing2",-0.2259,0.153,-1.4761,0.7657,0.2592,1465.89149793121,6,TRUE,0,75.791,0,0.252902722216802,887.713881901849,899.138309371791,15,333
"3","null_multinational","sensing2",-0.0476,0.1527,-0.3117,0.6871,0.3028,1465.89149793121,6,TRUE,0,49.5063,0,0.305889483786241,660.113754741608,670.71392320779,15,253
"4","null_overall","proactive2",-0.1011,0.1249,-0.8094,0.7546,0.2048,1465.89149793121,6,TRUE,0,132.6808,0,0.213466750052116,1560.85518313791,1574.02086735455,15,595
"5","null_domestic","proactive2",-0.2437,0.1431,-1.7023,0.7778,0.2127,1465.89149793121,6,TRUE,0,82.205,0,0.214740030287733,893.046983632938,904.480406611868,14,334
"6","null_multinational","proactive2",0.0205,0.137,0.1495,0.692,0.2355,1465.89149793121,6,TRUE,0,43.6599,0,0.253908355795148,678.695918227421,689.389479449389,15,261
"7","null_overall","agility2",-0.1359,0.1339,-1.0154,0.7219,0.2404,1465.89149793121,6,TRUE,0,151.9723,0,0.249818144029928,1501.83339799081,1514.92765026136,15,581
"8","null_domestic","agility2",-0.2433,0.1543,-1.5767,0.7323,0.2597,1465.89149793121,6,TRUE,0,95.0813,0,0.26179435483871,865.444303223319,876.841581186701,14,330
"9","null_multinational","agility2",-0.0217,0.1506,-0.1438,0.6553,0.2954,1465.89149793121,6,TRUE,0,54.1878,0,0.310718418007784,643.495174612872,654.071533430268,15,251
"10","null_overall","flexOutcome",0.0146,0.0949,0.1537,0.8907,0.1032,1465.89149793121,6,TRUE,0,45.3899,0,0.103833383640205,1673.79954486031,1687.01026745411,15,604
"11","null_domestic","flexOutcome",-0.0024,0.1324,-0.0182,0.8694,0.1724,1465.89149793121,6,TRUE,0,41.3118,0,0.165482818199271,940.82822605404,952.306226376181,15,339
"12","null_multinational","flexOutcome",0.0093,0.0849,0.1093,0.8983,0.0528,1465.89149793121,6,TRUE,0,2.2966,0.1297,0.0555146672274209,739.974600159142,750.713789637101,15,265
"13","null_overall","speedOutcome",-0.0162,0.0913,-0.1778,0.916,0.0925,1465.89149793121,6,TRUE,0,36.2349,0,0.0917203767972236,1689.17675603375,1702.38747862755,15,604
"14","null_domestic","speedOutcome",0.0004,0.1146,0.0036,0.8749,0.1149,1465.89149793121,6,TRUE,0,28.688,0,0.11608405738533,939.140603993086,950.618604315228,15,339
"15","null_multinational","speedOutcome",-0.0557,0.0925,-0.6018,0.9558,0.0691,1465.89149793121,6,TRUE,0,2.8988,0.0886,0.067421211825544,758.031940951776,768.771130429735,15,265
"16","null_overall","outcome",0,0.0987,-0.0002,0.8757,0.1145,1465.89149793121,6,TRUE,0,54.1307,0,0.115633205413048,1664.94624021038,1678.15696280418,15,604
"17","null_domestic","outcome",-0.0015,0.1321,-0.0114,0.876,0.171,1465.89149793121,6,TRUE,0,45.3009,0,0.163323782234957,943.245988264126,954.723988586267,15,339
"18","null_multinational","outcome",-0.0248,0.0893,-0.2782,0.8563,0.0664,1465.89149793121,6,TRUE,0,4.3849,0.0363,0.0719627181098949,729.453584476069,740.192773954028,15,265
