"","ControlVar_ sensing2","ControlVar_ proactive2","ControlVar_ agility2"
"model_name","ControlVar_ sensing2","ControlVar_ proactive2","ControlVar_ agility2"
"dv","sensing2","proactive2","agility2"
"intercept","-0.1221","-0.0585","-0.0994"
"intercept_se","0.1288","0.1176","0.1282"
"intercept_t","-0.9487","-0.4978","-0.7750"
"intercept_sig"," "," "," "
"firmsizestd","0.3456","0.3766","0.3882"
"firmsizestd_se","0.0896","0.0886","0.0869"
"firmsizestd_t","3.8576","4.2486","4.4669"
"firmsizestd_sig","***","***","***"
"gmci2016c","0.0171","0.0754","0.0554"
"gmci2016c_se","0.0685","0.0625","0.0682"
"gmci2016c_t","0.2501","1.2064","0.8123"
"gmci2016c_sig"," "," "," "
"firmsize_sq","-0.0251","-0.0250","-0.0269"
"firmsize_sq_se","0.0090","0.0089","0.0088"
"firmsize_sq_t","-2.7870","-2.7970","-3.0696"
"firmsize_sq_sig","**","**","**"
"var_firm","0.7377","0.7252","0.6931"
"var_country","0.2108","0.1714","0.2097"
"deviance","1514.032","1524.391","1465.891"
"para_count","6","6","6"
"sigularity","FALSE","FALSE","FALSE"
"convWarning","0","0","0"
"aic","1526.032","1536.391","1477.891"
"bic","1552.251","1562.702","1504.059"
"group_count","15","15","15"
"firm_count","584","593","579"
