"","RI_guaip_c","RI_gfuop_c","RI_gpdip_c","RI_ginscolp_c","RI_ghump_c","RI_gpefp_c","RI_gigrcolp_c","RI_ggndp_c","RI_gassp_c"
"model_name","RI_guaip_c","RI_gfuop_c","RI_gpdip_c","RI_ginscolp_c","RI_ghump_c","RI_gpefp_c","RI_gigrcolp_c","RI_ggndp_c","RI_gassp_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","guaip_c","gfuop_c","gpdip_c","ginscolp_c","ghump_c","gpefp_c","gigrcolp_c","ggndp_c","gassp_c"
"intercept","-0.0077"," 0.0139","-0.0109"," 0.0024","-0.0315","-0.0239"," 0.0207","-0.0858"," 0.0399"
"intercept_se","0.1044","0.0973","0.1047","0.0881","0.1137","0.1033","0.0932","0.1152","0.1031"
"intercept_t","-0.0739"," 0.1431","-0.1039"," 0.0270","-0.2773","-0.2310"," 0.2222","-0.7448"," 0.3873"
"intercept_sig"," "," "," "," "," "," "," "," "," "
"culc"," 0.0815","-0.4270"," 0.4157","-0.0267"," 0.1842","-0.3981"," 0.2585"," 0.2724","-0.3657"
"culc_se","0.2248","0.2827","0.3826","0.2953","0.3098","0.3729","0.1236","0.4366","0.2775"
"culc_t"," 0.3626","-1.5101"," 1.0864","-0.0905"," 0.5947","-1.0675"," 2.0918"," 0.6240","-1.3178"
"culc_sig"," "," "," "," "," "," ","*"," "," "
"agility2cj","0.3941","0.3953","0.3963","0.3879","0.3972","0.3993","0.3950","0.3965","0.4017"
"agility2cj_se","0.0457","0.0455","0.0457","0.0455","0.0457","0.0456","0.0457","0.0458","0.0457"
"agility2cj_t","8.6220","8.6822","8.6738","8.5249","8.6980","8.7604","8.6470","8.6585","8.7927"
"agility2cj_sig","***","***","***","***","***","***","***","***","***"
"network2xcj","-0.1182","-0.0988","-0.1106","-0.1036","-0.1305","-0.1121","-0.1048","-0.1071","-0.1117"
"network2xcj_se","0.0856","0.0848","0.0852","0.0845","0.0847","0.0850","0.0852","0.0860","0.0851"
"network2xcj_t","-1.3803","-1.1651","-1.2983","-1.2266","-1.5410","-1.3180","-1.2297","-1.2454","-1.3127"
"network2xcj_sig"," "," "," "," "," "," "," "," "," "
"agility_network_int","0.0168","0.0125","0.0200","0.0029","0.0421","0.0201","0.0092","0.0270","0.0325"
"agility_network_int_se","0.1061","0.1052","0.1069","0.1050","0.1059","0.1056","0.1085","0.1078","0.1058"
"agility_network_int_t","0.1582","0.1193","0.1871","0.0279","0.3977","0.1906","0.0844","0.2508","0.3076"
"agility_network_int_sig"," "," "," "," "," "," "," "," "," "
"firmsizestd","-0.0389","-0.0709","-0.0555","-0.0781","-0.0801","-0.0748","-0.0590","-0.0649","-0.0752"
"firmsizestd_se","0.0975","0.0957","0.0965","0.0954","0.0954","0.0962","0.0955","0.0966","0.0957"
"firmsizestd_t","-0.3991","-0.7408","-0.5748","-0.8186","-0.8402","-0.7781","-0.6175","-0.6713","-0.7862"
"firmsizestd_sig"," "," "," "," "," "," "," "," "," "
"gmci2016c"," 0.0071","-0.0438","-0.0333","-0.0083","-0.0807","-0.0108","-0.0519","-0.0575","-0.0195"
"gmci2016c_se","0.0527","0.0510","0.0572","0.0528","0.0575","0.0715","0.0470","0.0545","0.0487"
"gmci2016c_t"," 0.1349","-0.8579","-0.5822","-0.1579","-1.4019","-0.1510","-1.1044","-1.0552","-0.4002"
"gmci2016c_sig"," "," "," "," "," "," "," "," "," "
"firmsize_sq","0.0039","0.0068","0.0052","0.0072","0.0071","0.0068","0.0051","0.0058","0.0066"
"firmsize_sq_se","0.0096","0.0095","0.0095","0.0094","0.0094","0.0095","0.0095","0.0096","0.0095"
"firmsize_sq_t","0.4041","0.7190","0.5424","0.7614","0.7525","0.7096","0.5341","0.6065","0.7000"
"firmsize_sq_sig"," "," "," "," "," "," "," "," "," "
"agility_culc_int","-0.1228"," 0.1880"," 0.1689"," 0.0174"," 0.3346"," 0.1525"," 0.0718","-0.1590","-0.1320"
"agility_culc_int_se","0.0976","0.1198","0.1246","0.0992","0.1190","0.1477","0.0560","0.1767","0.1358"
"agility_culc_int_t","-1.2584"," 1.5696"," 1.3553"," 0.1754"," 2.8105"," 1.0327"," 1.2818","-0.8995","-0.9717"
"agility_culc_int_sig"," "," "," "," ","**"," "," "," "," "
"network_culc_int","-0.0891","-0.0525","-0.1415"," 0.1656","-0.3354","-0.1753","-0.1750"," 0.2741"," 0.0836"
"network_culc_int_se","0.1874","0.2134","0.2125","0.1887","0.2364","0.2540","0.1053","0.3368","0.2606"
"network_culc_int_t","-0.4752","-0.2459","-0.6660"," 0.8779","-1.4187","-0.6900","-1.6620"," 0.8138"," 0.3209"
"network_culc_int_sig"," "," "," "," "," "," "," "," "," "
"triple_int","-0.1109"," 0.3779","-0.1011"," 0.5991"," 0.2648"," 0.3260","-0.1850"," 0.1091","-0.4034"
"triple_int_se","0.2235","0.2545","0.2765","0.2147","0.3080","0.3078","0.1406","0.4728","0.3068"
"triple_int_t","-0.4962"," 1.4851","-0.3657"," 2.7904"," 0.8597"," 1.0590","-1.3150"," 0.2308","-1.3148"
"triple_int_sig"," "," "," ","**"," "," "," "," "," "
"var_firm","0.7741893","0.7716559","0.7740683","0.7648023","0.7643053","0.7742895","0.7683053","0.7753523","0.7722269"
