"","RI_guaip_c","RI_gfuop_c","RI_gpdip_c","RI_ginscolp_c","RI_ghump_c","RI_gpefp_c","RI_gigrcolp_c","RI_ggndp_c","RI_gassp_c"
"model_name","RI_guaip_c","RI_gfuop_c","RI_gpdip_c","RI_ginscolp_c","RI_ghump_c","RI_gpefp_c","RI_gigrcolp_c","RI_ggndp_c","RI_gassp_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","guaip_c","gfuop_c","gpdip_c","ginscolp_c","ghump_c","gpefp_c","gigrcolp_c","ggndp_c","gassp_c"
"intercept"," 0.0729"," 0.0575"," 0.0306"," 0.1171"," 0.0292"," 0.0432"," 0.0399","-0.0966"," 0.0833"
"intercept_se","0.1347","0.1350","0.1479","0.1138","0.1507","0.1472","0.1280","0.1556","0.1381"
"intercept_t"," 0.5414"," 0.4257"," 0.2071"," 1.0290"," 0.1939"," 0.2933"," 0.3118","-0.6212"," 0.6034"
"intercept_sig"," "," "," "," "," "," "," "," "," "
"culc"," 0.0912","-0.5163"," 0.2549","-0.1771"," 0.4379","-0.3272"," 0.3503"," 0.4560","-0.3968"
"culc_se","0.2952","0.3810","0.4490","0.4048","0.4846","0.5358","0.1671","0.6111","0.3823"
"culc_t"," 0.3089","-1.3552"," 0.5678","-0.4374"," 0.9037","-0.6106"," 2.0965"," 0.7462","-1.0378"
"culc_sig"," "," "," "," "," "," ","*"," "," "
"agility2cj","0.3941","0.4091","0.3891","0.4178","0.3710","0.4117","0.3723","0.3884","0.4158"
"agility2cj_se","0.0596","0.0587","0.0593","0.0581","0.0619","0.0587","0.0607","0.0613","0.0605"
"agility2cj_t","6.6130","6.9687","6.5633","7.1917","5.9964","7.0127","6.1308","6.3390","6.8718"
"agility2cj_sig","***","***","***","***","***","***","***","***","***"
"firmsizestd","0.1932","0.1341","0.1678","0.2246","0.1169","0.1560","0.1108","0.1354","0.1413"
"firmsizestd_se","0.2171","0.2162","0.2152","0.2150","0.2148","0.2178","0.2144","0.2152","0.2144"
"firmsizestd_t","0.8897","0.6202","0.7799","1.0447","0.5443","0.7164","0.5169","0.6291","0.6589"
"firmsizestd_sig"," "," "," "," "," "," "," "," "," "
"gmci2016c"," 0.0257","-0.0594","-0.0335"," 0.0051","-0.1241"," 0.0051","-0.0686","-0.0550","-0.0157"
"gmci2016c_se","0.0614","0.0682","0.0729","0.0669","0.0821","0.0915","0.0610","0.0691","0.0652"
"gmci2016c_t"," 0.4189","-0.8718","-0.4595"," 0.0761","-1.5109"," 0.0558","-1.1242","-0.7962","-0.2408"
"gmci2016c_sig"," "," "," "," "," "," "," "," "," "
"firmsize_sq","-0.0139","-0.0101","-0.0126","-0.0167","-0.0092","-0.0119","-0.0094","-0.0107","-0.0109"
"firmsize_sq_se","0.0198","0.0199","0.0198","0.0197","0.0198","0.0199","0.0197","0.0198","0.0197"
"firmsize_sq_t","-0.6980","-0.5099","-0.6363","-0.8486","-0.4676","-0.5948","-0.4794","-0.5416","-0.5512"
"firmsize_sq_sig"," "," "," "," "," "," "," "," "," "
"agility_culc_int","-0.1759"," 0.0391"," 0.3100","-0.3696"," 0.3255","-0.0919"," 0.1525","-0.2774"," 0.0848"
"agility_culc_int_se","0.1395","0.1708","0.1660","0.1431","0.1854","0.2092","0.0762","0.2479","0.2234"
"agility_culc_int_t","-1.2612"," 0.2289"," 1.8678","-2.5825"," 1.7551","-0.4394"," 2.0010","-1.1190"," 0.3797"
"agility_culc_int_sig"," "," ","+","*","+"," ","+"," "," "
"var_firm","0.7598467","0.7653600","0.7567909","0.7471323","0.7582858","0.7643276","0.7559145","0.7611677","0.7601962"
"var_intercept","0.08790472","0.10583488","0.16942093","0.03530057","0.15141340","0.16512760","0.09889526","0.15071597","0.08869385"
"var_culc","0.51320721","0.54652803","0.47137047","0.88255595","0.60045252","0.44482972","0.08489085","1.73019276","0.81484469"
"cov_int_culc","-0.16221074"," 0.03174130"," 0.16310115"," 0.01826275"," 0.22519198","-0.10330663","-0.03507491","-0.39781385","-0.22418727"
"deviance","863.8339","867.2008","864.8945","856.8341","863.7975","868.2576","861.2446","865.5783","861.7600"
"para_count","11","11","11","11","11","11","11","11","11"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0","0","0","0"
"aic","885.8339","889.2008","886.8945","878.8341","885.7975","890.2576","883.2446","887.5783","883.7600"
"bic","927.5906","930.9575","928.6512","920.5908","927.5542","932.0142","925.0012","929.3349","925.5166"
"group_count","14","14","14","14","14","14","14","14","14"
"firm_count","329","329","329","329","329","329","329","329","329"
