"","RI_guaiv_c","RI_gfuov_c","RI_gpdiv_c","RI_ginscolv_c","RI_ghumv_c","RI_gperv_c","RI_gigrcolv_c","RI_ggndv_c","RI_gassv_c"
"model_name","RI_guaiv_c","RI_gfuov_c","RI_gpdiv_c","RI_ginscolv_c","RI_ghumv_c","RI_gperv_c","RI_gigrcolv_c","RI_ggndv_c","RI_gassv_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","guaiv_c","gfuov_c","gpdiv_c","ginscolv_c","ghumv_c","gperv_c","gigrcolv_c","ggndv_c","gassv_c"
"intercept","-0.0105","-0.0511","-0.0281","-0.0113","-0.0136","-0.0317","-0.0748","-0.0803"," 0.0083"
"intercept_se","0.1078","0.1039","0.1061","0.0920","0.1287","0.1026","0.1090","0.1244","0.1013"
"intercept_t","-0.0971","-0.4913","-0.2653","-0.1229","-0.1061","-0.3085","-0.6863","-0.6457"," 0.0816"
"intercept_sig"," "," "," "," "," "," "," "," "," "
"culc"," 0.1848"," 0.1610"," 0.3391"," 0.4130","-0.2980"," 0.3886"," 0.2882"," 0.0348"," 0.0650"
"culc_se","0.1575","0.3240","0.5586","0.2515","0.6580","0.3963","0.3020","0.2679","0.1557"
"culc_t"," 1.1734"," 0.4969"," 0.6071"," 1.6421","-0.4529"," 0.9805"," 0.9542"," 0.1301"," 0.4173"
"culc_sig"," "," "," "," "," "," "," "," "," "
"agility2cj","0.3982","0.3984","0.3984","0.3989","0.3979","0.3981","0.3982","0.3982","0.3978"
"agility2cj_se","0.0457","0.0457","0.0457","0.0457","0.0457","0.0456","0.0456","0.0457","0.0456"
"agility2cj_t","8.7177","8.7262","8.7188","8.7327","8.7157","8.7226","8.7320","8.7135","8.7214"
"agility2cj_sig","***","***","***","***","***","***","***","***","***"
"network2xcj","-0.1043","-0.1060","-0.1047","-0.1067","-0.1061","-0.1064","-0.1062","-0.1058","-0.1075"
"network2xcj_se","0.0851","0.0851","0.0851","0.0851","0.0850","0.0850","0.0850","0.0851","0.0850"
"network2xcj_t","-1.2261","-1.2466","-1.2302","-1.2544","-1.2472","-1.2516","-1.2504","-1.2425","-1.2657"
"network2xcj_sig"," "," "," "," "," "," "," "," "," "
"agility_network_int","0.0154","0.0205","0.0180","0.0242","0.0167","0.0144","0.0213","0.0210","0.0243"
"agility_network_int_se","0.1055","0.1054","0.1056","0.1055","0.1055","0.1055","0.1052","0.1055","0.1052"
"agility_network_int_t","0.1459","0.1945","0.1705","0.2292","0.1584","0.1363","0.2024","0.1987","0.2308"
"agility_network_int_sig"," "," "," "," "," "," "," "," "," "
"firmsizestd","-0.0657","-0.0655","-0.0667","-0.0679","-0.0599","-0.0590","-0.0621","-0.0625","-0.0565"
"firmsizestd_se","0.0961","0.0959","0.0963","0.0960","0.0960","0.0956","0.0956","0.0961","0.0956"
"firmsizestd_t","-0.6836","-0.6827","-0.6924","-0.7078","-0.6243","-0.6170","-0.6495","-0.6504","-0.5912"
"firmsizestd_sig"," "," "," "," "," "," "," "," "," "
"gmci2016c","-0.0750","-0.0858","-0.0976"," 0.0257","-0.0628","-0.0349","-0.0730","-0.0695","-0.0779"
"gmci2016c_se","0.0523","0.0588","0.0744","0.0521","0.0566","0.0419","0.0410","0.0532","0.0458"
"gmci2016c_t","-1.4346","-1.4599","-1.3119"," 0.4934","-1.1099","-0.8329","-1.7794","-1.3068","-1.7003"
"gmci2016c_sig"," "," "," "," "," "," ","+"," ","+"
"firmsize_sq","0.0060","0.0060","0.0061","0.0061","0.0054","0.0051","0.0057","0.0057","0.0052"
"firmsize_sq_se","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095"
"firmsize_sq_t","0.6325","0.6362","0.6379","0.6441","0.5725","0.5417","0.5977","0.6029","0.5508"
"firmsize_sq_sig"," "," "," "," "," "," "," "," "," "
"var_firm","0.7779172","0.7772343","0.7784560","0.7781522","0.7772104","0.7767349","0.7756221","0.7784770","0.7759749"
"var_intercept","0.09228569","0.09564408","0.08265063","0.05974875","0.14391475","0.06360978","0.07665969","0.09640542","0.03258141"
"var_culc","0.08097959","0.36405675","0.78294766","0.23193921","1.57224378","0.78259414","0.59102581","0.32555433","0.14389193"
"cov_int_culc"," 0.03579452","-0.13551778"," 0.11088078","-0.04461921","-0.41688957","-0.17935458","-0.18705382","-0.10766508"," 0.04702299"
"deviance","1523.579","1523.553","1524.596","1521.500","1523.141","1517.582","1518.490","1524.593","1518.298"
"para_count","12","12","12","12","12","12","12","12","12"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0","0","0","0"
"aic","1547.579","1547.553","1548.596","1545.500","1547.141","1541.582","1542.490","1548.593","1542.298"
"bic","1599.914","1599.889","1600.932","1597.835","1599.477","1593.917","1594.826","1600.928","1594.634"
"group_count","15","15","15","15","15","15","15","15","15"
"firm_count","579","579","579","579","579","579","579","579","579"
