"","o.ControlVar_ flexOutcome","o.ControlVar_ speedOutcome","o.ControlVar_ outcome"
"model_name","o.ControlVar_ flexOutcome","o.ControlVar_ speedOutcome","o.ControlVar_ outcome"
"dv","flexOutcome","speedOutcome","outcome"
"intercept"," 0.0005","-0.0218","-0.0113"
"intercept_se","0.0928","0.0907","0.0972"
"intercept_t"," 0.0056","-0.2399","-0.1164"
"intercept_sig"," "," "," "
"firmsizestd","0.0387","0.0949","0.0724"
"firmsizestd_se","0.0977","0.0989","0.0969"
"firmsizestd_t","0.3960","0.9591","0.7473"
"firmsizestd_sig"," "," "," "
"gmci2016c","-0.0501","-0.0240","-0.0416"
"gmci2016c_se","0.0490","0.0478","0.0514"
"gmci2016c_t","-1.0226","-0.5019","-0.8092"
"gmci2016c_sig"," "," "," "
"firmsize_sq","-0.0030","-0.0035","-0.0035"
"firmsize_sq_se","0.0099","0.0100","0.0098"
"firmsize_sq_t","-0.3072","-0.3468","-0.3540"
"firmsize_sq_sig"," "," "," "
"var_firm","0.8904","0.9127","0.8735"
"var_country","0.0925","0.0862","0.1047"
"deviance","1660.883","1674.711","1650.930"
"para_count","6","6","6"
"sigularity","FALSE","FALSE","FALSE"
"convWarning","0","0","0"
"aic","1672.883","1686.711","1662.930"
"bic","1699.285","1713.112","1689.331"
"group_count","15","15","15"
"firm_count","602","602","602"
