"","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"model_name","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"dv","agility2","agility2","agility2","agility2","agility2","agility2"
"cul","pdi_c","idv_c","lto_c","ivr_c","mas_c","uai_c"
"intercept","-0.0457","-0.0124","-0.0957","-0.0031","-0.0478","-0.1156"
"intercept_se","0.1418","0.1370","0.1401","0.1563","0.1602","0.1430"
"intercept_t","-0.3221","-0.0907","-0.6832","-0.0196","-0.2986","-0.8082"
"intercept_sig"," "," "," "," "," "," "
"culc"," 0.0155","-0.0150","-0.0002","-0.0158"," 0.0027"," 0.0000"
"culc_se","0.0073","0.0052","0.0078","0.0074","0.0069","0.0068"
"culc_t"," 2.1188","-2.8767","-0.0241","-2.1441"," 0.3891"," 0.0015"
"culc_sig","*","**"," ","*"," "," "
"firmsizestd","0.3431","0.3348","0.3334","0.3512","0.3402","0.3401"
"firmsizestd_se","0.0884","0.0883","0.0886","0.0883","0.0885","0.0886"
"firmsizestd_t","3.8801","3.7932","3.7640","3.9748","3.8443","3.8410"
"firmsizestd_sig","***","***","***","***","***","***"
"network2xcj","0.2049","0.2065","0.2046","0.2014","0.2031","0.2034"
"network2xcj_se","0.0790","0.0789","0.0790","0.0790","0.0790","0.0790"
"network2xcj_t","2.5918","2.6168","2.5890","2.5487","2.5699","2.5733"
"network2xcj_sig","*","*","*","*","*","*"
"gmci2016c","0.0558","0.0776","0.0924","0.0383","0.0499","0.0722"
"gmci2016c_se","0.0515","0.0465","0.0890","0.0603","0.0880","0.0786"
"gmci2016c_t","1.0839","1.6696","1.0376","0.6345","0.5670","0.9185"
"gmci2016c_sig"," "," "," "," "," "," "
"firmsize_sq","-0.0234","-0.0226","-0.0224","-0.0240","-0.0230","-0.0230"
"firmsize_sq_se","0.0088","0.0088","0.0088","0.0088","0.0088","0.0088"
"firmsize_sq_t","-2.6459","-2.5624","-2.5351","-2.7157","-2.6002","-2.5985"
"firmsize_sq_sig","*","*","*","*","*","*"
"var_firm","0.6836985","0.6814341","0.6829740","0.6832561","0.6830349","0.6832702"
"var_intercept","0.1388883","0.1469404","0.1572461","0.1955683","0.2667172","0.2111839"
"var_culc","0.0002835949","0.0001456518","0.0002205282","0.0002972767","0.0001469641","0.0001411911"
"cov_int_culc"," 0.0049114771","-0.0043166908","-0.0009003116","-0.0064220770"," 0.0049905787","-0.0031473341"
"deviance","1452.226","1448.252","1460.313","1454.011","1459.873","1459.814"
"para_count","10","10","10","10","10","10"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0"
"aic","1472.226","1468.252","1480.313","1474.011","1479.873","1479.814"
"bic","1515.839","1511.865","1523.926","1517.625","1523.486","1523.427"
"group_count","15","15","15","15","15","15"
"firm_count","579","579","579","579","579","579"
