"","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"model_name","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","pdi_c","idv_c","lto_c","ivr_c","mas_c","uai_c"
"intercept","-0.0060","-0.0264","-0.0175","-0.0214"," 0.0367","-0.0564"
"intercept_se","0.1134","0.1196","0.1014","0.1261","0.0877","0.0857"
"intercept_t","-0.0526","-0.2205","-0.1728","-0.1699"," 0.4187","-0.6578"
"intercept_sig"," "," "," "," "," "," "
"culc"," 0.0076","-0.0035","-0.0045","-0.0060","-0.0035","-0.0086"
"culc_se","0.0060","0.0048","0.0051","0.0063","0.0062","0.0052"
"culc_t"," 1.2649","-0.7282","-0.8814","-0.9568","-0.5616","-1.6513"
"culc_sig"," "," "," "," "," "," "
"agility2cj","0.3981","0.3981","0.3982","0.3978","0.3987","0.3984"
"agility2cj_se","0.0457","0.0457","0.0456","0.0457","0.0456","0.0456"
"agility2cj_t","8.7145","8.7161","8.7265","8.7106","8.7373","8.7276"
"agility2cj_sig","***","***","***","***","***","***"
"network2xcj","-0.1045","-0.1046","-0.1064","-0.1070","-0.1062","-0.1056"
"network2xcj_se","0.0851","0.0851","0.0850","0.0851","0.0850","0.0850"
"network2xcj_t","-1.2275","-1.2297","-1.2521","-1.2573","-1.2491","-1.2423"
"network2xcj_sig"," "," "," "," "," "," "
"agility_network_int","0.0153","0.0164","0.0194","0.0183","0.0227","0.0141"
"agility_network_int_se","0.1055","0.1055","0.1054","0.1055","0.1053","0.1055"
"agility_network_int_t","0.1450","0.1552","0.1838","0.1736","0.2159","0.1336"
"agility_network_int_sig"," "," "," "," "," "," "
"firmsizestd","-0.0647","-0.0636","-0.0606","-0.0584","-0.0662","-0.0645"
"firmsizestd_se","0.0960","0.0961","0.0956","0.0958","0.0956","0.0956"
"firmsizestd_t","-0.6740","-0.6621","-0.6341","-0.6097","-0.6926","-0.6743"
"firmsizestd_sig"," "," "," "," "," "," "
"gmci2016c","-0.0639","-0.0410","-0.0401","-0.0518","-0.0215","-0.0259"
"gmci2016c_se","0.0519","0.0500","0.0552","0.0538","0.0554","0.0459"
"gmci2016c_t","-1.2308","-0.8205","-0.7267","-0.9618","-0.3873","-0.5638"
"gmci2016c_sig"," "," "," "," "," "," "
"firmsize_sq","0.0060","0.0058","0.0054","0.0054","0.0059","0.0057"
"firmsize_sq_se","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095"
"firmsize_sq_t","0.6268","0.6090","0.5724","0.5681","0.6264","0.5980"
"firmsize_sq_sig"," "," "," "," "," "," "
"var_firm","0.7780418","0.7777861","0.7764121","0.7777349","0.7767189","0.7771614"
"var_intercept","0.09619351","0.10901235","0.05012179","0.11013055","0.03838067","0.04497473"
"var_culc","0.00009825333","0.00008644397","0.00016725939","0.00020736848","0.00017916231","0.00013308626"
"cov_int_culc"," 0.001276280","-0.002474726"," 0.002184068","-0.003713713"," 0.001406811"," 0.001711072"
"deviance","1523.480","1522.309","1519.143","1522.775","1520.485","1518.858"
"para_count","12","12","12","12","12","12"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0"
"aic","1547.480","1546.309","1543.143","1546.775","1544.485","1542.858"
"bic","1599.815","1598.644","1595.478","1599.111","1596.821","1595.193"
"group_count","15","15","15","15","15","15"
"firm_count","579","579","579","579","579","579"
