"","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"model_name","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","pdi_c","idv_c","lto_c","ivr_c","mas_c","uai_c"
"intercept","-0.0093","-0.0267","-0.0168","-0.0225"," 0.0401","-0.0518"
"intercept_se","0.1161","0.1195","0.1004","0.1261","0.0881","0.0858"
"intercept_t","-0.0801","-0.2231","-0.1672","-0.1787"," 0.4555","-0.6033"
"intercept_sig"," "," "," "," "," "," "
"culc"," 0.0076","-0.0035","-0.0058","-0.0062","-0.0039","-0.0091"
"culc_se","0.0061","0.0048","0.0052","0.0063","0.0064","0.0052"
"culc_t"," 1.2403","-0.7227","-1.1238","-0.9872","-0.6153","-1.7398"
"culc_sig"," "," "," "," "," ","+"
"agility2cj","0.3931","0.3993","0.3970","0.3947","0.3876","0.4012"
"agility2cj_se","0.0457","0.0458","0.0452","0.0460","0.0456","0.0454"
"agility2cj_t","8.5968","8.7267","8.7889","8.5831","8.4966","8.8457"
"agility2cj_sig","***","***","***","***","***","***"
"network2xcj","-0.1080","-0.1085","-0.1111","-0.1076","-0.1199","-0.1168"
"network2xcj_se","0.0852","0.0854","0.0842","0.0856","0.0844","0.0851"
"network2xcj_t","-1.2677","-1.2702","-1.3196","-1.2576","-1.4216","-1.3726"
"network2xcj_sig"," "," "," "," "," "," "
"agility_network_int"," 0.0100"," 0.0210","-0.0096"," 0.0270","-0.0437","-0.0270"
"agility_network_int_se","0.1069","0.1064","0.1046","0.1070","0.1063","0.1087"
"agility_network_int_t"," 0.0939"," 0.1971","-0.0919"," 0.2524","-0.4114","-0.2484"
"agility_network_int_sig"," "," "," "," "," "," "
"firmsizestd","-0.0620","-0.0592","-0.0709","-0.0562","-0.0356","-0.0633"
"firmsizestd_se","0.0960","0.0971","0.0950","0.0960","0.0954","0.0961"
"firmsizestd_t","-0.6460","-0.6091","-0.7459","-0.5856","-0.3735","-0.6593"
"firmsizestd_sig"," "," "," "," "," "," "
"gmci2016c","-0.0657","-0.0411","-0.0303","-0.0539","-0.0205","-0.0223"
"gmci2016c_se","0.0517","0.0500","0.0561","0.0535","0.0558","0.0456"
"gmci2016c_t","-1.2710","-0.8220","-0.5397","-1.0085","-0.3664","-0.4898"
"gmci2016c_sig"," "," "," "," "," "," "
"firmsize_sq","0.0052","0.0053","0.0071","0.0049","0.0034","0.0051"
"firmsize_sq_se","0.0095","0.0096","0.0094","0.0095","0.0094","0.0095"
"firmsize_sq_t","0.5455","0.5503","0.7599","0.5104","0.3605","0.5404"
"firmsize_sq_sig"," "," "," "," "," "," "
"agility_culc_int"," 0.0034","-0.0004","-0.0037","-0.0023"," 0.0014","-0.0018"
"agility_culc_int_se","0.0023","0.0021","0.0021","0.0026","0.0018","0.0019"
"agility_culc_int_t"," 1.4766","-0.1723","-1.7848","-0.8881"," 0.7613","-0.9530"
"agility_culc_int_sig"," "," ","+"," "," "," "
"network_culc_int","-0.0071"," 0.0023"," 0.0073"," 0.0042"," 0.0052"," 0.0074"
"network_culc_int_se","0.0048","0.0037","0.0038","0.0049","0.0034","0.0036"
"network_culc_int_t","-1.4871"," 0.6337"," 1.9297"," 0.8660"," 1.5193"," 2.0552"
"network_culc_int_sig"," "," ","+"," "," ","*"
"triple_int","-0.0079","-0.0001"," 0.0113"," 0.0045"," 0.0114"," 0.0083"
"triple_int_se","0.0061","0.0046","0.0045","0.0063","0.0040","0.0043"
"triple_int_t","-1.3087","-0.0165"," 2.4848"," 0.7220"," 2.8266"," 1.9383"
"triple_int_sig"," "," ","*"," ","**","+"
"var_firm","0.7700525","0.7772740","0.7597989","0.7750688","0.7613063","0.7642281"
"var_intercept","0.09934891","0.10872312","0.04638397","0.10995184","0.03842622","0.04554217"
"var_culc","0.00010903036","0.00008647764","0.00017203024","0.00020978548","0.00019181994","0.00013496318"
"cov_int_culc"," 0.001641843","-0.002475383"," 0.002043987","-0.003793380"," 0.001335291"," 0.001774356"
"deviance","1517.568","1521.895","1506.980","1520.655","1509.666","1509.337"
"para_count","15","15","15","15","15","15"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0"
"aic","1547.568","1551.895","1536.980","1550.655","1539.666","1539.337"
"bic","1612.988","1617.315","1602.399","1616.074","1605.085","1604.757"
"group_count","15","15","15","15","15","15"
"firm_count","579","579","579","579","579","579"
